episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
0,MARL,0.0096,6.445043,6.413161,0.031882,8,5,3
1,MARL,0.01358,5.89709,5.860335,0.036755,3,1,2
2,MARL,0.01103,5.596642,5.562674,0.033968,7,2,5
3,MARL,0.011403,5.796921,5.767009,0.029912,6,3,3
4,MARL,0.007476,5.900371,5.872504,0.027867,15,5,10
5,MARL,0.009674,5.864066,5.833527,0.030539,9,4,5
6,MARL,0.008781,6.419002,6.384794,0.034209,10,5,5
7,MARL,0.009443,5.611076,5.587825,0.023251,10,3,7
8,MARL,0.009737,6.296323,6.267323,0.029,8,6,2
9,MARL,0.008857,5.818649,5.787418,0.031231,11,3,8
10,MARL,0.010719,5.857788,5.825997,0.031792,7,4,3
11,MARL,0.008337,5.515511,5.491965,0.023546,13,9,4
12,MARL,0.010949,6.167627,6.129236,0.038391,6,3,3
13,MARL,0.011997,5.864205,5.832149,0.032056,5,2,3
14,MARL,0.00971,5.325884,5.296052,0.029832,10,8,2
15,MARL,0.012976,6.238456,6.203235,0.035221,3,2,1
16,MARL,0.008543,5.735391,5.702896,0.032494,12,6,6
17,MARL,0.010783,5.303102,5.27098,0.032122,8,5,3
18,MARL,0.011155,5.494286,5.461039,0.033248,7,4,3
19,MARL,0.008991,6.152389,6.118266,0.034123,10,1,9
20,MARL,0.010587,5.474431,5.442679,0.031752,8,4,4
21,MARL,0.012709,5.897058,5.86511,0.031947,4,2,2
22,MARL,0.016281,5.170609,5.138816,0.031794,2,1,1
23,MARL,0.009445,5.615896,5.584318,0.031577,10,6,4
24,MARL,0.01117,5.48096,5.449598,0.031362,7,2,5
25,MARL,0.009727,5.305664,5.277975,0.027689,10,7,3
26,MARL,0.011009,5.607243,5.581199,0.026044,7,2,5
27,MARL,0.008417,5.408787,5.376845,0.031942,13,4,9
28,MARL,0.008517,5.769297,5.737425,0.031872,12,6,6
29,MARL,0.011984,5.380032,5.34053,0.039502,6,1,5
30,MARL,0.008545,5.233765,5.199903,0.033862,13,6,7
31,MARL,0.009936,5.089313,5.06163,0.027683,10,6,4
32,MARL,0.01213,5.771077,5.74127,0.029807,5,3,2
33,MARL,0.009966,6.063803,6.030327,0.033476,8,3,5
34,MARL,0.007786,5.867177,5.840164,0.027013,14,7,7
35,MARL,0.009079,6.044427,6.01144,0.032987,10,6,4
36,MARL,0.009853,5.675657,5.646104,0.029554,9,3,6
37,MARL,0.012123,5.775003,5.745506,0.029497,5,3,2
38,MARL,0.009027,5.107915,5.075117,0.032798,12,7,5
39,MARL,0.010995,5.624154,5.59169,0.032464,7,3,4
40,MARL,0.011889,5.443423,5.407232,0.036191,6,2,4
41,MARL,0.010949,5.155412,5.130393,0.025019,8,4,4
42,MARL,0.009419,5.647215,5.614066,0.03315,10,2,8
43,MARL,0.009025,5.607675,5.577765,0.02991,11,3,8
44,MARL,0.008912,5.745283,5.717545,0.027738,11,7,4
45,MARL,0.010202,5.329184,5.299146,0.030038,9,7,2
46,MARL,0.008244,5.650828,5.627986,0.022843,13,7,6
47,MARL,0.010506,5.050383,5.015135,0.035248,9,5,4
48,MARL,0.012831,5.825649,5.789735,0.035914,4,2,2
49,MARL,0.008638,5.606334,5.57327,0.033064,12,5,7
50,MARL,0.00962,5.422519,5.392222,0.030297,10,6,4
51,MARL,0.009531,5.529702,5.487948,0.041754,10,4,6
52,MARL,0.013289,5.556422,5.52156,0.034862,4,2,2
53,MARL,0.011604,5.148528,5.114243,0.034285,7,4,3
54,MARL,0.012683,4.906655,4.881798,0.024856,6,3,3
55,MARL,0.011309,5.369738,5.339219,0.030519,7,2,5
56,MARL,0.011212,5.44875,5.416007,0.032743,7,3,4
57,MARL,0.011353,5.834627,5.805373,0.029254,6,3,3
58,MARL,0.011463,5.251092,5.220854,0.030238,7,4,3
59,MARL,0.009274,5.817324,5.779102,0.038222,10,3,7
60,MARL,0.011348,5.339438,5.309338,0.0301,7,6,1
61,MARL,0.008712,5.505068,5.475959,0.029109,12,7,5
62,MARL,0.013137,5.138486,5.109443,0.029043,5,3,2
63,MARL,0.01187,5.948806,5.921738,0.027068,5,4,1
64,MARL,0.009358,5.211379,5.183197,0.028182,11,5,6
65,MARL,0.012234,5.202316,5.170439,0.031877,6,3,3
66,MARL,0.010909,5.194181,5.163615,0.030566,8,5,3
67,MARL,0.010949,5.158549,5.130547,0.028002,8,5,3
68,MARL,0.010497,5.054817,5.023522,0.031294,9,8,1
69,MARL,0.008926,5.727084,5.700627,0.026457,11,5,6
70,MARL,0.011982,5.873334,5.842838,0.030496,5,3,2
71,MARL,0.01277,5.357723,5.328038,0.029685,5,4,1
72,MARL,0.010278,5.754847,5.726659,0.028188,8,5,3
73,MARL,0.011282,5.897395,5.85971,0.037684,6,2,4
74,MARL,0.010233,5.297302,5.269096,0.028206,9,5,4
75,MARL,0.012938,5.260691,5.225539,0.035152,5,2,3
76,MARL,0.009355,5.72131,5.686018,0.035292,10,3,7
77,MARL,0.015772,4.869801,4.837088,0.032713,3,2,1
78,MARL,0.009758,4.773141,4.744785,0.028356,11,3,8
79,MARL,0.009631,5.411137,5.379768,0.031369,10,5,5
80,MARL,0.009257,4.83123,4.799052,0.032178,12,8,4
81,MARL,0.009808,5.223328,5.192953,0.030375,10,6,4
82,MARL,0.010227,5.304033,5.274851,0.029181,9,3,6
83,MARL,0.010175,5.35569,5.325352,0.030338,9,5,4
