episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
0,MAFRL,0.010202,5.330257,5.298439,0.031818,9,5,4
1,MAFRL,0.010594,5.968033,5.936025,0.032009,7,2,5
2,MAFRL,0.010897,5.707324,5.673529,0.033795,7,3,4
3,MAFRL,0.011348,6.339201,6.308725,0.030476,5,4,1
4,MAFRL,0.008755,5.956214,5.918258,0.037956,11,3,8
5,MAFRL,0.010514,5.540479,5.508179,0.032299,8,1,7
6,MAFRL,0.012253,5.686796,5.658213,0.028583,5,1,4
7,MAFRL,0.010806,6.288419,6.250414,0.038005,6,3,3
8,MAFRL,0.011661,5.602366,5.572843,0.029523,6,3,3
9,MAFRL,0.011886,5.440232,5.41011,0.030122,6,2,4
10,MAFRL,0.009317,5.26301,5.23003,0.032979,11,6,5
11,MAFRL,0.008132,5.32648,5.294282,0.032198,14,5,9
12,MAFRL,0.010568,4.98823,4.959964,0.028266,9,3,6
13,MAFRL,0.011034,6.097249,6.059161,0.038088,6,0,6
14,MAFRL,0.012507,5.527168,5.491676,0.035492,5,4,1
15,MAFRL,0.010738,5.339943,5.309898,0.030045,8,3,5
16,MAFRL,0.011637,5.622233,5.590129,0.032104,6,2,4
17,MAFRL,0.010178,5.34867,5.322862,0.025808,9,5,4
18,MAFRL,0.013738,5.814854,5.775128,0.039727,3,2,1
19,MAFRL,0.012626,5.459869,5.415639,0.044229,5,1,4
20,MAFRL,0.011724,5.560451,5.526127,0.034324,6,3,3
21,MAFRL,0.011155,5.495385,5.461193,0.034192,7,2,5
22,MAFRL,0.010672,5.903918,5.866871,0.037047,7,2,5
23,MAFRL,0.011531,5.704745,5.669083,0.035662,6,4,2
24,MAFRL,0.009909,6.120857,6.088919,0.031939,8,5,3
25,MAFRL,0.010774,5.313491,5.278168,0.035323,8,2,6
26,MAFRL,0.008957,5.69793,5.661182,0.036748,11,2,9
27,MAFRL,0.012747,5.876729,5.841712,0.035018,4,1,3
28,MAFRL,0.009619,5.925286,5.892436,0.032849,9,3,6
29,MAFRL,0.008461,5.846386,5.815483,0.030902,12,5,7
30,MAFRL,0.010368,5.67389,5.642006,0.031884,8,6,2
31,MAFRL,0.007712,5.49256,5.464039,0.028521,15,9,6
32,MAFRL,0.012317,5.646665,5.615836,0.030829,5,3,2
33,MAFRL,0.010218,5.814771,5.783323,0.031448,8,3,5
34,MAFRL,0.011544,5.692849,5.659063,0.033786,6,1,5
35,MAFRL,0.011246,5.42227,5.388774,0.033496,7,5,2
36,MAFRL,0.011182,5.974657,5.939312,0.035345,6,2,4
37,MAFRL,0.012243,5.697375,5.664941,0.032434,5,1,4
38,MAFRL,0.01222,6.211421,6.180314,0.031108,4,2,2
39,MAFRL,0.011098,5.035416,5.007672,0.027744,8,6,2
40,MAFRL,0.009192,5.904384,5.876468,0.027916,10,6,4
41,MAFRL,0.011438,5.774056,5.739689,0.034367,6,4,2
42,MAFRL,0.011866,5.958526,5.924371,0.034156,5,2,3
43,MAFRL,0.012026,5.841777,5.812134,0.029644,5,4,1
44,MAFRL,0.012817,5.337662,5.297858,0.039805,5,4,1
45,MAFRL,0.009304,6.269217,6.246254,0.022962,9,5,4
46,MAFRL,0.010382,5.658814,5.628692,0.030121,8,5,3
47,MAFRL,0.011003,6.126608,6.084462,0.042146,6,2,4
48,MAFRL,0.008861,6.310121,6.282957,0.027163,10,3,7
49,MAFRL,0.009853,6.178909,6.146337,0.032572,8,3,5
50,MAFRL,0.012238,5.703124,5.667902,0.035222,5,3,2
51,MAFRL,0.011861,5.958688,5.927851,0.030837,5,2,3
52,MAFRL,0.009555,5.497201,5.462363,0.034838,10,4,6
53,MAFRL,0.013974,5.691884,5.652453,0.039431,3,1,2
54,MAFRL,0.012639,5.948989,5.907605,0.041384,4,1,3
55,MAFRL,0.012085,5.305938,5.271346,0.034593,6,4,2
56,MAFRL,0.009699,5.840822,5.807137,0.033685,9,5,4
57,MAFRL,0.011016,5.106691,5.074789,0.031902,8,3,5
58,MAFRL,0.009736,5.799394,5.768124,0.03127,9,5,4
59,MAFRL,0.010578,5.985139,5.949615,0.035524,7,2,5
60,MAFRL,0.011977,6.389165,6.34505,0.044116,4,1,3
61,MAFRL,0.014193,5.582521,5.541683,0.040838,3,1,2
62,MAFRL,0.010843,5.750945,5.719295,0.03165,7,5,2
63,MAFRL,0.011212,5.946028,5.916143,0.029885,6,2,4
64,MAFRL,0.010792,5.79509,5.762742,0.032348,7,3,4
65,MAFRL,0.008758,5.960303,5.913599,0.046705,11,4,7
66,MAFRL,0.010733,5.848095,5.813856,0.034239,7,6,1
67,MAFRL,0.008601,6.159098,6.123509,0.03559,11,2,9
68,MAFRL,0.011684,6.087645,6.055192,0.032453,5,2,3
69,MAFRL,0.009856,5.673354,5.642711,0.030643,9,5,4
70,MAFRL,0.009741,6.297077,6.26189,0.035187,8,2,6
71,MAFRL,0.009922,6.105593,6.075278,0.030315,8,3,5
72,MAFRL,0.011027,5.60417,5.564945,0.039225,7,4,3
73,MAFRL,0.00922,5.887244,5.841324,0.04592,10,9,1
74,MAFRL,0.010412,6.133186,6.101178,0.032008,7,3,4
75,MAFRL,0.011961,5.895895,5.85649,0.039405,5,4,1
76,MAFRL,0.009612,5.93358,5.899834,0.033746,9,1,8
77,MAFRL,0.009142,6.4813,6.433361,0.047939,9,3,6
78,MAFRL,0.009271,5.81357,5.782875,0.030695,10,6,4
79,MAFRL,0.00995,5.584203,5.545971,0.038231,9,2,7
80,MAFRL,0.009528,6.021319,5.992903,0.028416,9,5,4
81,MAFRL,0.008971,5.675283,5.643802,0.031481,11,6,5
82,MAFRL,0.012419,6.082089,6.04858,0.033509,4,2,2
83,MAFRL,0.010999,5.631017,5.587721,0.043296,7,4,3
84,MAFRL,0.01036,5.683402,5.649263,0.034139,8,5,3
85,MAFRL,0.009773,5.256328,5.229089,0.027239,10,7,3
86,MAFRL,0.009234,5.85663,5.826476,0.030154,10,6,4
87,MAFRL,0.012368,6.120829,6.081373,0.039455,4,2,2
