episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
1,MAFRL-DDQN,0.013243,5.086798,5.047024,0.039773,5,3,2
2,MAFRL-DDQN,0.011495,5.224867,5.196884,0.027982,7,5,2
3,MAFRL-DDQN,0.012415,5.086618,5.051183,0.035435,6,3,3
4,MAFRL-DDQN,0.012937,5.75887,5.726233,0.032637,4,1,3
5,MAFRL-DDQN,0.011786,5.010464,4.982079,0.028385,7,4,3
6,MAFRL-DDQN,0.011901,5.440732,5.398688,0.042044,6,3,3
7,MAFRL-DDQN,0.01402,5.159207,5.129908,0.029299,4,1,3
8,MAFRL-DDQN,0.010277,5.256984,5.227438,0.029546,9,2,7
9,MAFRL-DDQN,0.009088,5.533282,5.500115,0.033167,11,6,5
10,MAFRL-DDQN,0.011308,5.371224,5.339791,0.031433,7,3,4
11,MAFRL-DDQN,0.008884,5.288927,5.252961,0.035966,12,6,6
12,MAFRL-DDQN,0.012217,5.209258,5.182481,0.026777,6,4,2
13,MAFRL-DDQN,0.010275,5.76022,5.728975,0.031246,8,3,5
14,MAFRL-DDQN,0.009215,4.885619,4.847509,0.038111,12,5,7
15,MAFRL-DDQN,0.011608,5.146914,5.111586,0.035328,7,3,4
16,MAFRL-DDQN,0.009669,5.37534,5.338464,0.036876,10,4,6
17,MAFRL-DDQN,0.011932,4.91085,4.877352,0.033498,7,4,3
18,MAFRL-DDQN,0.014234,5.052126,5.022506,0.02962,4,4,0
19,MAFRL-DDQN,0.011213,5.449686,5.414718,0.034968,7,3,4
20,MAFRL-DDQN,0.009911,5.623955,5.586532,0.037423,9,3,6
21,MAFRL-DDQN,0.015571,5.463261,5.417608,0.045653,2,1,1
22,MAFRL-DDQN,0.011959,4.89055,4.858674,0.031876,7,4,3
23,MAFRL-DDQN,0.01263,4.945395,4.914346,0.03105,6,3,3
24,MAFRL-DDQN,0.012514,5.524338,5.487224,0.037114,5,3,2
25,MAFRL-DDQN,0.012078,5.314761,5.275254,0.039507,6,3,3
26,MAFRL-DDQN,0.012428,5.07552,5.0431,0.032419,6,1,5
27,MAFRL-DDQN,0.011249,4.919558,4.886283,0.033276,8,3,5
28,MAFRL-DDQN,0.011697,5.080257,5.045585,0.034673,7,5,2
29,MAFRL-DDQN,0.012576,4.978634,4.948952,0.029682,6,5,1
30,MAFRL-DDQN,0.012698,5.407985,5.371763,0.036222,5,2,3
31,MAFRL-DDQN,0.017295,4.82516,4.777381,0.047778,2,2,0
32,MAFRL-DDQN,0.011569,4.670628,4.640853,0.029775,8,5,3
33,MAFRL-DDQN,0.012259,5.186373,5.153856,0.032517,6,2,4
34,MAFRL-DDQN,0.009906,5.124093,5.091296,0.032797,10,4,6
35,MAFRL-DDQN,0.010854,5.750027,5.708842,0.041185,7,3,4
36,MAFRL-DDQN,0.011163,5.487486,5.454602,0.032884,7,1,6
37,MAFRL-DDQN,0.012407,5.589006,5.557076,0.03193,5,3,2
38,MAFRL-DDQN,0.014034,5.653035,5.622359,0.030676,3,2,1
39,MAFRL-DDQN,0.012182,5.237722,5.205699,0.032023,6,3,3
40,MAFRL-DDQN,0.009302,5.278831,5.247751,0.03108,11,6,5
41,MAFRL-DDQN,0.008955,5.194123,5.163749,0.030374,12,8,4
42,MAFRL-DDQN,0.011127,5.014537,4.983884,0.030653,8,3,5
43,MAFRL-DDQN,0.010865,5.231825,5.200715,0.031111,8,4,4
44,MAFRL-DDQN,0.010233,4.81175,4.768327,0.043423,10,3,7
45,MAFRL-DDQN,0.011738,5.548374,5.516317,0.032057,6,3,3
46,MAFRL-DDQN,0.012509,4.521598,4.491231,0.030366,7,4,3
47,MAFRL-DDQN,0.010766,4.815693,4.78533,0.030363,9,7,2
48,MAFRL-DDQN,0.011894,4.949284,4.903156,0.046128,7,3,4
49,MAFRL-DDQN,0.012799,4.843475,4.809626,0.033849,6,5,1
50,MAFRL-DDQN,0.011499,4.727307,4.692619,0.034688,8,5,3
51,MAFRL-DDQN,0.012131,5.273906,5.239857,0.03405,6,1,5
52,MAFRL-DDQN,0.013191,5.120172,5.076507,0.043665,5,3,2
53,MAFRL-DDQN,0.012632,4.952841,4.912318,0.040523,6,3,3
54,MAFRL-DDQN,0.010377,4.167185,4.133161,0.034024,11,8,3
55,MAFRL-DDQN,0.010863,5.23446,5.20266,0.0318,8,5,3
56,MAFRL-DDQN,0.010992,4.628364,4.593673,0.034691,9,5,4
57,MAFRL-DDQN,0.013577,4.902711,4.861072,0.041639,5,2,3
58,MAFRL-DDQN,0.012154,4.764348,4.72341,0.040937,7,3,4
59,MAFRL-DDQN,0.01199,4.869396,4.836878,0.032518,7,3,4
60,MAFRL-DDQN,0.014398,5.473867,5.4421,0.031766,3,1,2
