episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
98,MARL,0.0083,6.072441,6.046174,0.026266,12,7,5
99,MARL,0.011271,5.899347,5.869476,0.02987,6,3,3
100,MARL,0.009549,5.995002,5.969387,0.025615,9,4,5
101,MARL,0.01297,6.239573,6.207061,0.032512,3,1,2
102,MARL,0.009804,6.224903,6.19669,0.028213,8,4,4
103,MARL,0.008991,5.644446,5.619524,0.024922,11,7,4
104,MARL,0.013868,5.737881,5.707723,0.030157,3,1,2
105,MARL,0.009692,4.840811,4.814767,0.026044,11,8,3
106,MARL,0.008953,5.695444,5.666222,0.029222,11,5,6
107,MARL,0.009951,5.578102,5.545713,0.032389,9,4,5
108,MARL,0.007945,5.608478,5.583881,0.024597,14,10,4
109,MARL,0.009594,5.450924,5.419652,0.031272,10,6,4
110,MARL,0.009114,5.99664,5.968927,0.027713,10,5,5
111,MARL,0.010409,5.633287,5.603793,0.029494,8,4,4
112,MARL,0.010887,5.71338,5.681725,0.031655,7,2,5
113,MARL,0.009431,6.132208,6.099849,0.032359,9,3,6
114,MARL,0.010931,5.172448,5.14591,0.026538,8,4,4
115,MARL,0.011386,5.810113,5.779945,0.030167,6,2,4
116,MARL,0.011796,5.499736,5.474714,0.025022,6,5,1
117,MARL,0.008804,4.883958,4.855121,0.028837,13,9,4
118,MARL,0.012061,5.31922,5.287922,0.031299,6,4,2
119,MARL,0.009475,6.089008,6.049879,0.039128,9,2,7
120,MARL,0.009561,5.485755,5.455805,0.02995,10,3,7
121,MARL,0.011332,5.851125,5.822021,0.029104,6,1,5
122,MARL,0.009543,6.007565,5.976233,0.031332,9,4,5
123,MARL,0.01069,5.880829,5.852046,0.028782,7,5,2
124,MARL,0.008081,5.401087,5.372084,0.029002,14,8,6
125,MARL,0.010125,5.912874,5.87291,0.039964,8,5,3
126,MARL,0.007942,5.616287,5.587749,0.028538,14,8,6
127,MARL,0.014393,6.475279,6.444825,0.030454,1,0,1
128,MARL,0.0094,5.664951,5.634713,0.030237,10,6,4
129,MARL,0.011421,6.281998,6.253254,0.028743,5,2,3
130,MARL,0.009762,6.269877,6.240776,0.029101,8,5,3
131,MARL,0.009755,5.778238,5.748464,0.029773,9,5,4
132,MARL,0.00901,6.125173,6.096238,0.028935,10,5,5
133,MARL,0.010688,5.885761,5.852946,0.032815,7,3,4
134,MARL,0.01032,5.71865,5.687187,0.031462,8,6,2
135,MARL,0.010005,6.521036,6.491916,0.029119,7,4,3
136,MARL,0.00981,6.219865,6.190948,0.028918,8,3,5
137,MARL,0.008815,6.371613,6.341977,0.029637,10,3,7
138,MARL,0.008453,5.855695,5.827074,0.028621,12,6,6
139,MARL,0.007881,5.714846,5.685493,0.029353,14,6,8
140,MARL,0.010356,5.679791,5.653952,0.025839,8,1,7
141,MARL,0.010306,5.731987,5.699565,0.032422,8,4,4
142,MARL,0.011404,5.795225,5.765522,0.029703,6,5,1
143,MARL,0.007968,6.078546,6.047876,0.030671,13,6,7
144,MARL,0.010083,5.449125,5.414627,0.034498,9,6,3
145,MARL,0.012744,5.371782,5.343926,0.027855,5,2,3
146,MARL,0.009675,5.364782,5.333215,0.031567,10,4,6
147,MARL,0.012265,5.677525,5.650823,0.026701,5,3,2
148,MARL,0.009273,5.810336,5.781319,0.029016,10,6,4
