episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
1,MAFRL-DDQN,0.010272,5.264192,5.231704,0.032488,9,8,1
2,MAFRL-DDQN,0.011542,5.695408,5.660512,0.034897,6,0,6
3,MAFRL-DDQN,0.013402,4.987873,4.95846,0.029413,5,4,1
4,MAFRL-DDQN,0.01328,5.064356,5.026145,0.038211,5,1,4
5,MAFRL-DDQN,0.015049,5.170071,5.142147,0.027924,3,3,0
6,MAFRL-DDQN,0.012637,5.435428,5.410834,0.024594,5,3,2
7,MAFRL-DDQN,0.009743,4.79098,4.760609,0.030371,11,5,6
8,MAFRL-DDQN,0.012723,4.889389,4.856559,0.03283,6,4,2
9,MAFRL-DDQN,0.011212,4.949276,4.915449,0.033826,8,6,2
10,MAFRL-DDQN,0.009764,5.768653,5.738887,0.029766,9,5,4
11,MAFRL-DDQN,0.010487,5.074044,5.031328,0.042716,9,1,8
12,MAFRL-DDQN,0.008731,5.485185,5.450497,0.034687,12,1,11
13,MAFRL-DDQN,0.012462,5.060289,5.020461,0.039828,6,3,3
14,MAFRL-DDQN,0.012388,5.60006,5.568889,0.031171,5,2,3
15,MAFRL-DDQN,0.012163,5.255386,5.218021,0.037364,6,1,5
16,MAFRL-DDQN,0.009324,5.258742,5.221828,0.036914,11,5,6
17,MAFRL-DDQN,0.012802,5.339297,5.308391,0.030906,5,3,2
18,MAFRL-DDQN,0.011831,5.485293,5.44862,0.036673,6,6,0
19,MAFRL-DDQN,0.01463,5.3665,5.331725,0.034775,3,3,0
20,MAFRL-DDQN,0.013817,5.262483,5.234503,0.02798,4,2,2
21,MAFRL-DDQN,0.009797,5.734968,5.70375,0.031218,9,4,5
22,MAFRL-DDQN,0.009164,4.940368,4.909176,0.031191,12,6,6
23,MAFRL-DDQN,0.011973,5.386615,5.348636,0.037979,6,3,3
24,MAFRL-DDQN,0.01329,5.053903,5.021278,0.032626,5,3,2
25,MAFRL-DDQN,0.00831,5.066345,5.030126,0.036218,14,6,8
26,MAFRL-DDQN,0.01163,5.124596,5.095223,0.029373,7,2,5
27,MAFRL-DDQN,0.011687,5.588113,5.552897,0.035216,6,1,5
28,MAFRL-DDQN,0.008017,5.506531,5.469955,0.036576,14,4,10
29,MAFRL-DDQN,0.011144,5.004495,4.970049,0.034445,8,6,2
30,MAFRL-DDQN,0.011851,5.467659,5.434593,0.033067,6,2,4
31,MAFRL-DDQN,0.010819,5.272488,5.239551,0.032937,8,3,5
32,MAFRL-DDQN,0.012997,4.724582,4.690818,0.033764,6,6,0
33,MAFRL-DDQN,0.010988,4.626397,4.597538,0.028859,9,3,6
34,MAFRL-DDQN,0.009962,4.57318,4.533711,0.039469,11,6,5
35,MAFRL-DDQN,0.013252,5.576794,5.542425,0.034369,4,0,4
36,MAFRL-DDQN,0.011285,5.890217,5.858472,0.031745,6,3,3
37,MAFRL-DDQN,0.011773,5.524652,5.490745,0.033907,6,5,1
38,MAFRL-DDQN,0.013876,5.240289,5.202867,0.037422,4,0,4
39,MAFRL-DDQN,0.008806,4.380359,4.353201,0.027158,14,9,5
40,MAFRL-DDQN,0.014513,4.924879,4.886545,0.038334,4,2,2
41,MAFRL-DDQN,0.01145,5.26525,5.229963,0.035286,7,4,3
42,MAFRL-DDQN,0.009484,5.574938,5.540211,0.034727,10,3,7
43,MAFRL-DDQN,0.010816,4.776734,4.742,0.034734,9,5,4
44,MAFRL-DDQN,0.009095,5.02052,4.991966,0.028555,12,7,5
45,MAFRL-DDQN,0.009932,5.092131,5.06617,0.025962,10,6,4
46,MAFRL-DDQN,0.012228,4.706814,4.675111,0.031703,7,5,2
47,MAFRL-DDQN,0.013004,5.715276,5.687419,0.027856,4,4,0
48,MAFRL-DDQN,0.010586,5.473369,5.443861,0.029509,8,3,5
49,MAFRL-DDQN,0.011475,5.240194,5.211584,0.02861,7,4,3
50,MAFRL-DDQN,0.012404,5.100335,5.057788,0.042547,6,2,4
51,MAFRL-DDQN,0.012732,5.379171,5.35115,0.028021,5,3,2
52,MAFRL-DDQN,0.009595,5.451461,5.418697,0.032763,10,4,6
53,MAFRL-DDQN,0.008658,5.074608,5.047992,0.026616,13,7,6
54,MAFRL-DDQN,0.008987,4.654959,4.624196,0.030763,13,7,6
55,MAFRL-DDQN,0.012056,5.331091,5.290381,0.040711,6,1,5
56,MAFRL-DDQN,0.010428,5.118227,5.086737,0.03149,9,3,6
57,MAFRL-DDQN,0.011053,5.076713,5.043819,0.032894,8,5,3
58,MAFRL-DDQN,0.012719,4.883113,4.860075,0.023038,6,5,1
59,MAFRL-DDQN,0.010132,5.397182,5.366796,0.030385,9,7,2
60,MAFRL-DDQN,0.012654,4.93541,4.898967,0.036444,6,4,2
61,MAFRL-DDQN,0.013549,4.904039,4.87826,0.025779,5,3,2
62,MAFRL-DDQN,0.010333,5.707769,5.673966,0.033803,8,1,7
63,MAFRL-DDQN,0.008962,4.680543,4.655668,0.024875,13,8,5
64,MAFRL-DDQN,0.010361,4.677164,4.648246,0.028919,10,5,5
65,MAFRL-DDQN,0.009787,5.245026,5.214247,0.03078,10,5,5
66,MAFRL-DDQN,0.009657,4.886672,4.85135,0.035322,11,6,5
67,MAFRL-DDQN,0.010223,4.806634,4.779071,0.027563,10,6,4
68,MAFRL-DDQN,0.009248,5.339724,5.31025,0.029474,11,10,1
69,MAFRL-DDQN,0.011809,4.492804,4.465005,0.027799,8,4,4
70,MAFRL-DDQN,0.010898,4.701328,4.673421,0.027907,9,6,3
71,MAFRL-DDQN,0.012329,5.135201,5.108311,0.026891,6,3,3
72,MAFRL-DDQN,0.011976,5.377793,5.347229,0.030564,6,6,0
73,MAFRL-DDQN,0.010938,5.183195,5.137834,0.045361,8,3,5
74,MAFRL-DDQN,0.010083,4.942153,4.915156,0.026997,10,6,4
75,MAFRL-DDQN,0.009582,4.961249,4.933177,0.028072,11,7,4
76,MAFRL-DDQN,0.0108,5.28341,5.256422,0.026987,8,5,3
77,MAFRL-DDQN,0.009459,5.103072,5.068723,0.034349,11,6,5
78,MAFRL-DDQN,0.011218,4.942889,4.910981,0.031908,8,3,5
79,MAFRL-DDQN,0.013878,5.237028,5.202038,0.03499,4,2,2
80,MAFRL-DDQN,0.009982,5.050464,5.014535,0.035929,10,4,6
81,MAFRL-DDQN,0.009075,5.04462,5.016309,0.02831,12,6,6
82,MAFRL-DDQN,0.011976,5.384471,5.346195,0.038276,6,1,5
83,MAFRL-DDQN,0.012391,5.106288,5.066664,0.039625,6,4,2
84,MAFRL-DDQN,0.011066,5.076209,5.032442,0.043767,8,2,6
85,MAFRL-DDQN,0.015064,5.171022,5.13466,0.036362,3,3,0
86,MAFRL-DDQN,0.01185,4.965421,4.936111,0.029311,7,6,1
87,MAFRL-DDQN,0.009529,5.528483,5.490983,0.037501,10,4,6
88,MAFRL-DDQN,0.010764,5.323685,5.286108,0.037577,8,3,5
89,MAFRL-DDQN,0.010472,5.5748,5.546326,0.028474,8,5,3
90,MAFRL-DDQN,0.013331,5.528406,5.498213,0.030193,4,3,1
91,MAFRL-DDQN,0.009391,5.172317,5.145843,0.026474,11,9,2
92,MAFRL-DDQN,0.012074,5.812742,5.778606,0.034135,5,2,3
93,MAFRL-DDQN,0.011499,5.229237,5.192647,0.03659,7,6,1
94,MAFRL-DDQN,0.008998,5.138599,5.110299,0.0283,12,6,6
95,MAFRL-DDQN,0.011851,4.963877,4.935137,0.02874,7,4,3
96,MAFRL-DDQN,0.010846,5.246129,5.216614,0.029516,8,2,6
97,MAFRL-DDQN,0.009688,4.847601,4.818626,0.028975,11,6,5
98,MAFRL-DDQN,0.0125,5.032688,4.996699,0.035989,6,5,1
99,MAFRL-DDQN,0.010044,5.484229,5.453095,0.031134,9,5,4
100,MAFRL-DDQN,0.010499,5.047114,5.02264,0.024474,9,7,2
101,MAFRL-DDQN,0.01031,5.227263,5.195983,0.03128,9,5,4
102,MAFRL-DDQN,0.010249,5.286666,5.253704,0.032963,9,3,6
103,MAFRL-DDQN,0.011591,4.65762,4.623755,0.033865,8,3,5
104,MAFRL-DDQN,0.009103,5.519097,5.481537,0.03756,11,5,6
105,MAFRL-DDQN,0.010268,5.271782,5.235353,0.036429,9,7,2
106,MAFRL-DDQN,0.015385,5.529678,5.49662,0.033059,2,1,1
107,MAFRL-DDQN,0.010476,5.074439,5.042244,0.032195,9,4,5
