episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
1,MAFRL-NEW,0.011011,6.116951,6.07831,0.038641,6,3,3
2,MAFRL-NEW,0.009213,5.885267,5.850485,0.034782,10,6,4
3,MAFRL-NEW,0.010693,5.383756,5.348505,0.035252,8,5,3
4,MAFRL-NEW,0.01018,6.35099,6.320484,0.030506,7,3,4
5,MAFRL-NEW,0.009262,6.329054,6.293736,0.035319,9,3,6
6,MAFRL-NEW,0.009935,6.091985,6.061971,0.030014,8,6,2
7,MAFRL-NEW,0.011384,6.318319,6.280454,0.037865,5,0,5
8,MAFRL-NEW,0.008926,5.731619,5.69993,0.031689,11,8,3
9,MAFRL-NEW,0.010149,5.381034,5.350599,0.030435,9,4,5
10,MAFRL-NEW,0.009633,6.410259,6.377821,0.032438,8,1,7
11,MAFRL-NEW,0.012871,5.7976,5.766521,0.031079,4,2,2
12,MAFRL-NEW,0.01017,6.364708,6.329124,0.035585,7,5,2
13,MAFRL-NEW,0.009585,6.466389,6.429678,0.036711,8,3,5
14,MAFRL-NEW,0.009898,6.126522,6.100585,0.025937,8,4,4
15,MAFRL-NEW,0.012591,5.975851,5.938107,0.037744,4,2,2
16,MAFRL-NEW,0.009611,5.939956,5.901171,0.038785,9,2,7
17,MAFRL-NEW,0.010058,5.97282,5.939299,0.03352,8,3,5
18,MAFRL-NEW,0.012644,5.936102,5.906002,0.0301,4,2,2
19,MAFRL-NEW,0.009928,6.102477,6.068766,0.033711,8,2,6
20,MAFRL-NEW,0.012099,5.794735,5.761909,0.032826,5,4,1
21,MAFRL-NEW,0.012783,5.352523,5.319808,0.032716,5,2,3
22,MAFRL-NEW,0.010471,5.57443,5.547093,0.027338,8,5,3
23,MAFRL-NEW,0.008306,6.072044,6.035281,0.036763,12,4,8
24,MAFRL-NEW,0.01009,5.946146,5.906598,0.039548,8,1,7
25,MAFRL-NEW,0.012673,5.425467,5.387247,0.038219,5,2,3
26,MAFRL-NEW,0.012647,6.43536,6.403607,0.031753,3,1,2
27,MAFRL-NEW,0.012119,6.280397,6.248416,0.031981,4,1,3
28,MAFRL-NEW,0.012795,5.843944,5.812158,0.031786,4,0,4
29,MAFRL-NEW,0.008656,6.077909,6.050322,0.027586,11,4,7
30,MAFRL-NEW,0.010341,6.195304,6.167483,0.027821,7,3,4
31,MAFRL-NEW,0.010674,5.391456,5.365818,0.025638,8,3,5
32,MAFRL-NEW,0.009255,6.33487,6.301891,0.032979,9,6,3
33,MAFRL-NEW,0.009504,5.562085,5.517805,0.04428,10,3,7
34,MAFRL-NEW,0.009268,5.815443,5.786531,0.028912,10,5,5
35,MAFRL-NEW,0.01002,5.507503,5.47754,0.029963,9,4,5
36,MAFRL-NEW,0.014371,5.487793,5.455219,0.032573,3,1,2
37,MAFRL-NEW,0.009552,5.99838,5.965587,0.032793,9,5,4
38,MAFRL-NEW,0.012754,5.870142,5.837293,0.032849,4,4,0
39,MAFRL-NEW,0.011315,5.87257,5.833753,0.038817,6,4,2
40,MAFRL-NEW,0.011102,6.036123,6.003791,0.032331,6,3,3
41,MAFRL-NEW,0.007782,5.880141,5.846429,0.033711,14,4,10
42,MAFRL-NEW,0.009536,5.514474,5.483874,0.0306,10,6,4
43,MAFRL-NEW,0.014725,5.823519,5.787702,0.035817,2,1,1
44,MAFRL-NEW,0.011908,5.932727,5.893788,0.038939,5,2,3
45,MAFRL-NEW,0.008617,6.13345,6.10156,0.03189,11,6,5
46,MAFRL-NEW,0.011277,5.897786,5.86414,0.033646,6,5,1
47,MAFRL-NEW,0.010646,5.925867,5.889724,0.036143,7,2,5
48,MAFRL-NEW,0.010071,5.965949,5.924971,0.040977,8,3,5
49,MAFRL-NEW,0.009605,5.4389,5.40791,0.03099,10,5,5
50,MAFRL-NEW,0.009893,6.132725,6.10534,0.027386,8,5,3
51,MAFRL-NEW,0.012939,6.264095,6.224407,0.039688,3,2,1
52,MAFRL-NEW,0.010994,6.120674,6.092667,0.028007,6,4,2
53,MAFRL-NEW,0.00857,6.203844,6.164138,0.039706,11,3,8
54,MAFRL-NEW,0.010099,5.93315,5.898104,0.035046,8,6,2
55,MAFRL-NEW,0.009791,6.241975,6.210136,0.031839,8,3,5
56,MAFRL-NEW,0.00902,6.113909,6.083773,0.030135,10,2,8
57,MAFRL-NEW,0.011209,5.948702,5.91846,0.030242,6,4,2
58,MAFRL-NEW,0.008172,6.269799,6.23406,0.03574,12,3,9
59,MAFRL-NEW,0.011135,6.013073,5.976888,0.036185,6,3,3
60,MAFRL-NEW,0.010748,5.835274,5.800591,0.034683,7,4,3
61,MAFRL-NEW,0.01114,5.501865,5.473443,0.028422,7,5,2
62,MAFRL-NEW,0.010744,6.35118,6.30301,0.04817,6,2,4
63,MAFRL-NEW,0.01033,5.70852,5.677168,0.031352,8,4,4
64,MAFRL-NEW,0.008521,6.264722,6.231788,0.032934,11,2,9
65,MAFRL-NEW,0.010192,5.841893,5.808705,0.033189,8,6,2
66,MAFRL-NEW,0.009316,5.768266,5.730255,0.038011,10,3,7
67,MAFRL-NEW,0.008319,6.050937,6.017549,0.033388,12,6,6
68,MAFRL-NEW,0.01079,5.800911,5.764284,0.036628,7,4,3
69,MAFRL-NEW,0.010302,5.732267,5.704039,0.028228,8,4,4
70,MAFRL-NEW,0.00957,6.480345,6.445524,0.03482,8,1,7
71,MAFRL-NEW,0.010558,6.013393,5.966907,0.046486,7,3,4
72,MAFRL-NEW,0.008214,6.205883,6.170174,0.035709,12,6,6
73,MAFRL-NEW,0.012951,6.253531,6.217883,0.035648,3,0,3
74,MAFRL-NEW,0.01127,6.401749,6.369965,0.031784,5,2,3
75,MAFRL-NEW,0.010117,5.911802,5.881687,0.030116,8,5,3
76,MAFRL-NEW,0.009787,6.245847,6.214714,0.031133,8,5,3
77,MAFRL-NEW,0.010805,6.292432,6.250984,0.041448,6,2,4
78,MAFRL-NEW,0.008485,6.816361,6.78158,0.03478,10,3,7
79,MAFRL-NEW,0.013686,6.337573,6.303235,0.034338,2,1,1
80,MAFRL-NEW,0.011352,6.338975,6.30546,0.033515,5,3,2
81,MAFRL-NEW,0.011908,5.921414,5.895278,0.026136,5,2,3
82,MAFRL-NEW,0.007715,5.997736,5.957145,0.040591,14,4,10
83,MAFRL-NEW,0.01073,6.352409,6.316453,0.035956,6,3,3
84,MAFRL-NEW,0.010197,6.339221,6.302819,0.036402,7,2,5
85,MAFRL-NEW,0.009843,6.191159,6.155665,0.035493,8,5,3
86,MAFRL-NEW,0.010345,5.70722,5.661959,0.045261,8,5,3
87,MAFRL-NEW,0.009553,6.003892,5.963901,0.039991,9,4,5
88,MAFRL-NEW,0.013524,6.430696,6.390336,0.040361,2,1,1
89,MAFRL-NEW,0.013174,6.626829,6.586526,0.040303,2,1,1
90,MAFRL-NEW,0.00938,6.191189,6.157731,0.033458,9,3,6
91,MAFRL-NEW,0.008082,5.896755,5.870138,0.026617,13,5,8
92,MAFRL-NEW,0.009662,6.377889,6.34628,0.031608,8,3,5
93,MAFRL-NEW,0.00824,6.672837,6.631849,0.040989,11,2,9
94,MAFRL-NEW,0.008871,6.302494,6.269045,0.033449,10,2,8
95,MAFRL-NEW,0.008928,6.23032,6.197256,0.033064,10,4,6
96,MAFRL-NEW,0.010054,5.476048,5.443111,0.032937,9,7,2
97,MAFRL-NEW,0.008178,6.257973,6.224664,0.033309,12,6,6
98,MAFRL-NEW,0.012807,6.335955,6.305346,0.030609,3,1,2
99,MAFRL-NEW,0.011569,6.182377,6.139328,0.043049,5,2,3
