episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
82,MAFRL-DDQN,0.050398,0.985945,0.983995,0.00195,2,2,0
83,MAFRL-DDQN,0.030663,0.76292,0.761101,0.001819,5,5,0
84,MAFRL-DDQN,0.051256,0.953055,0.950769,0.002286,2,1,1
85,MAFRL-DDQN,0.050549,0.979904,0.978101,0.001803,2,2,0
86,MAFRL-DDQN,0.02524,0.962835,0.96186,0.000975,6,5,1
87,MAFRL-DDQN,0.056579,0.768402,0.767338,0.001064,2,2,0
88,MAFRL-DDQN,0.038982,1.066668,1.065107,0.001561,3,2,1
89,MAFRL-DDQN,0.021004,0.761375,0.760908,0.000468,8,6,2
90,MAFRL-DDQN,0.041981,1.383614,1.381871,0.001743,2,1,1
91,MAFRL-DDQN,0.038264,1.11458,1.113326,0.001253,3,3,0
92,MAFRL-DDQN,0.034119,0.932213,0.930805,0.001408,4,2,2
93,MAFRL-DDQN,0.025839,0.870867,0.87004,0.000828,6,4,2
94,MAFRL-DDQN,0.026154,0.824347,0.823367,0.00098,6,4,2
95,MAFRL-DDQN,0.047903,1.089253,1.087363,0.00189,2,2,0
96,MAFRL-DDQN,0.046551,1.149785,1.148001,0.001784,2,2,0
97,MAFRL-DDQN,0.035586,0.810909,0.809978,0.000931,4,3,1
98,MAFRL-DDQN,0.041891,0.888462,0.886986,0.001476,3,2,1
99,MAFRL-DDQN,0.05091,0.965664,0.96409,0.001574,2,2,0
100,MAFRL-DDQN,0.043162,0.818471,0.816671,0.0018,3,3,0
101,MAFRL-DDQN,0.024162,0.639537,0.638681,0.000856,7,7,0
102,MAFRL-DDQN,0.037161,0.691753,0.690905,0.000848,4,4,0
103,MAFRL-DDQN,0.028804,0.97295,0.971561,0.001388,5,3,2
104,MAFRL-DDQN,0.035326,0.831702,0.830642,0.001061,4,3,1
105,MAFRL-DDQN,0.051915,0.927763,0.926052,0.001711,2,2,0
106,MAFRL-DDQN,0.03356,0.980941,0.979652,0.001289,4,3,1
107,MAFRL-DDQN,0.048245,1.074416,1.072563,0.001853,2,1,1
108,MAFRL-DDQN,0.050037,0.999843,0.998392,0.001452,2,2,0
109,MAFRL-DDQN,0.047601,1.102539,1.100589,0.00195,2,2,0
110,MAFRL-DDQN,0.026354,0.795093,0.79436,0.000733,6,4,2
111,MAFRL-DDQN,0.035596,0.810576,0.809162,0.001413,4,3,1
112,MAFRL-DDQN,0.02772,1.108101,1.107421,0.00068,5,5,0
113,MAFRL-DDQN,0.071898,0.892178,0.890708,0.00147,1,1,0
114,MAFRL-DDQN,0.056049,1.285897,1.283956,0.001941,1,1,0
115,MAFRL-DDQN,0.074319,0.846834,0.845415,0.001419,1,1,0
116,MAFRL-DDQN,0.038271,1.114257,1.112827,0.00143,3,2,1
117,MAFRL-DDQN,0.049975,1.001727,1.00091,0.000817,2,2,0
118,MAFRL-DDQN,0.027203,0.677,0.676022,0.000978,6,5,1
119,MAFRL-DDQN,0.054199,0.846313,0.844921,0.001392,2,1,1
120,MAFRL-DDQN,0.038914,1.070532,1.069678,0.000855,3,3,0
121,MAFRL-DDQN,0.028287,1.035822,1.035057,0.000765,5,5,0
122,MAFRL-DDQN,0.030553,0.773626,0.77291,0.000716,5,4,1
123,MAFRL-DDQN,0.037136,1.195017,1.192563,0.002455,3,1,2
124,MAFRL-DDQN,0.076967,0.800187,0.799157,0.00103,1,1,0
125,MAFRL-DDQN,0.073806,0.856158,0.854763,0.001395,1,1,0
126,MAFRL-DDQN,0.049301,1.030074,1.028164,0.00191,2,1,1
127,MAFRL-DDQN,0.051972,0.925641,0.923937,0.001704,2,2,0
128,MAFRL-DDQN,0.050987,0.962373,0.961181,0.001193,2,2,0
129,MAFRL-DDQN,0.05618,0.780563,0.779923,0.000639,2,2,0
130,MAFRL-DDQN,0.033694,0.968953,0.967739,0.001214,4,3,1
131,MAFRL-DDQN,0.032531,1.075631,1.073838,0.001793,4,2,2
132,MAFRL-DDQN,0.047998,1.084723,1.083281,0.001442,2,2,0
133,MAFRL-DDQN,0.042715,0.841962,0.841019,0.000944,3,3,0
134,MAFRL-DDQN,0.039827,1.012101,1.010746,0.001355,3,1,2
135,MAFRL-DDQN,0.043751,0.786597,0.785574,0.001023,3,3,0
136,MAFRL-DDQN,0.035249,0.838183,0.836838,0.001345,4,3,1
137,MAFRL-DDQN,0.036143,0.767601,0.766712,0.000889,4,4,0
138,MAFRL-DDQN,0.064614,1.04868,1.047532,0.001148,1,1,0
139,MAFRL-DDQN,0.039495,1.032968,1.031864,0.001104,3,3,0
140,MAFRL-DDQN,0.037767,0.648371,0.647768,0.000603,4,4,0
141,MAFRL-DDQN,0.041013,0.939424,0.938124,0.0013,3,3,0
142,MAFRL-DDQN,0.02755,0.631019,0.629651,0.001368,6,5,1
143,MAFRL-DDQN,0.035049,0.853985,0.853083,0.000902,4,4,0
144,MAFRL-DDQN,0.065713,1.022873,1.021649,0.001224,1,1,0
145,MAFRL-DDQN,0.046809,1.137469,1.136207,0.001262,2,2,0
146,MAFRL-DDQN,0.040585,0.965326,0.963822,0.001504,3,3,0
147,MAFRL-DDQN,0.027025,0.701094,0.70018,0.000914,6,4,2
148,MAFRL-DDQN,0.033997,0.942668,0.941322,0.001346,4,3,1
149,MAFRL-DDQN,0.037959,1.135571,1.134297,0.001273,3,2,1
150,MAFRL-DDQN,0.039627,1.024988,1.023349,0.001639,3,2,1
151,MAFRL-DDQN,0.029493,0.891242,0.890536,0.000706,5,4,1
152,MAFRL-DDQN,0.034705,0.881965,0.881325,0.00064,4,3,1
153,MAFRL-DDQN,0.062716,1.095785,1.094354,0.001431,1,1,0
154,MAFRL-DDQN,0.046599,1.147276,1.145844,0.001432,2,1,1
155,MAFRL-DDQN,0.05199,0.924376,0.923361,0.001015,2,1,1
156,MAFRL-DDQN,0.026562,0.765473,0.764733,0.00074,6,6,0
157,MAFRL-DDQN,0.034754,0.878611,0.877229,0.001382,4,3,1
158,MAFRL-DDQN,0.026977,0.70807,0.706676,0.001394,6,5,1
159,MAFRL-DDQN,0.036395,0.748215,0.747563,0.000653,4,4,0
160,MAFRL-DDQN,0.064374,1.054194,1.053343,0.000851,1,1,0
161,MAFRL-DDQN,0.03357,0.979737,0.978715,0.001023,4,4,0
162,MAFRL-DDQN,0.034718,0.881662,0.880217,0.001445,4,4,0
163,MAFRL-DDQN,0.034411,0.907337,0.905883,0.001454,4,2,2
164,MAFRL-DDQN,0.039532,1.031246,1.029431,0.001815,3,2,1
165,MAFRL-DDQN,0.036481,0.742168,0.741012,0.001156,4,3,1
166,MAFRL-DDQN,0.036883,0.711833,0.711178,0.000655,4,4,0
167,MAFRL-DDQN,0.026304,0.802491,0.801624,0.000867,6,5,1
168,MAFRL-DDQN,0.038591,1.092359,1.091123,0.001236,3,3,0
169,MAFRL-DDQN,0.034163,0.928095,0.92702,0.001075,4,3,1
170,MAFRL-DDQN,0.049894,1.005122,1.004168,0.000955,2,1,1
171,MAFRL-DDQN,0.021335,0.688019,0.68703,0.000989,8,7,1
172,MAFRL-DDQN,0.040406,0.97599,0.974761,0.001229,3,1,2
173,MAFRL-DDQN,0.048484,1.06442,1.062311,0.002108,2,2,0
174,MAFRL-DDQN,0.041131,0.932284,0.93116,0.001124,3,2,1
175,MAFRL-DDQN,0.036579,0.734792,0.733722,0.00107,4,4,0
176,MAFRL-DDQN,0.028516,1.007653,1.006743,0.00091,5,4,1
177,MAFRL-DDQN,0.065354,1.031618,1.029956,0.001662,1,1,0
178,MAFRL-DDQN,0.0196,0.602632,0.60185,0.000783,9,8,1
179,MAFRL-DDQN,0.030544,0.774988,0.773846,0.001142,5,5,0
180,MAFRL-DDQN,0.024898,1.017088,1.016352,0.000736,6,5,1
181,MAFRL-DDQN,0.041084,0.935232,0.933931,0.001301,3,2,1
182,MAFRL-DDQN,0.054423,0.838334,0.837343,0.000991,2,2,0
183,MAFRL-DDQN,0.02605,0.839451,0.838763,0.000688,6,5,1
184,MAFRL-DDQN,0.035912,1.285712,1.284491,0.001222,3,2,1
185,MAFRL-DDQN,0.054084,0.849743,0.848907,0.000836,2,2,0
186,MAFRL-DDQN,0.024917,0.513657,0.513261,0.000395,7,5,2
187,MAFRL-DDQN,0.041904,0.887897,0.886264,0.001633,3,3,0
188,MAFRL-DDQN,0.026222,0.814774,0.813506,0.001268,6,5,1
189,MAFRL-DDQN,0.042467,0.855885,0.854652,0.001233,3,3,0
190,MAFRL-DDQN,0.039072,1.060712,1.059261,0.001451,3,3,0
191,MAFRL-DDQN,0.02391,0.683295,0.682288,0.001007,7,6,1
192,MAFRL-DDQN,0.052308,0.912577,0.911655,0.000923,2,2,0
193,MAFRL-DDQN,0.041441,0.913982,0.91296,0.001022,3,3,0
194,MAFRL-DDQN,0.036276,0.757984,0.75651,0.001474,4,3,1
195,MAFRL-DDQN,0.023174,0.816159,0.815147,0.001013,7,5,2
196,MAFRL-DDQN,0.064499,1.051971,1.050231,0.00174,1,0,1
197,MAFRL-DDQN,0.02358,0.74172,0.740783,0.000936,7,7,0
198,MAFRL-DDQN,0.050092,0.997817,0.996153,0.001664,2,1,1
199,MAFRL-DDQN,0.045355,1.206105,1.204694,0.001412,2,2,0
200,MAFRL-DDQN,0.023543,0.748324,0.747547,0.000777,7,6,1
201,MAFRL-DDQN,0.028921,0.958985,0.957595,0.001389,5,3,2
202,MAFRL-DDQN,0.032965,1.034597,1.033363,0.001234,4,2,2
203,MAFRL-DDQN,0.033924,0.949117,0.947571,0.001546,4,3,1
204,MAFRL-DDQN,0.037295,1.182229,1.181261,0.000967,3,1,2
205,MAFRL-DDQN,0.06185,1.118091,1.116675,0.001416,1,1,0
206,MAFRL-DDQN,0.028003,1.071841,1.071001,0.000841,5,5,0
207,MAFRL-DDQN,0.070607,0.917622,0.916153,0.001469,1,1,0
208,MAFRL-DDQN,0.052188,0.917406,0.916029,0.001377,2,2,0
209,MAFRL-DDQN,0.051984,0.925383,0.923497,0.001886,2,2,0
210,MAFRL-DDQN,0.048327,1.070422,1.069101,0.001321,2,2,0
211,MAFRL-DDQN,0.024743,1.042733,1.041405,0.001328,6,2,4
212,MAFRL-DDQN,0.031786,1.147361,1.145916,0.001445,4,2,2
213,MAFRL-DDQN,0.033705,0.967683,0.966819,0.000863,4,4,0
214,MAFRL-DDQN,0.069398,0.942404,0.940794,0.001609,1,1,0
215,MAFRL-DDQN,0.034613,0.889893,0.888955,0.000938,4,4,0
216,MAFRL-DDQN,0.046369,1.15783,1.156483,0.001348,2,2,0
217,MAFRL-DDQN,0.028347,1.02896,1.027625,0.001335,5,5,0
218,MAFRL-DDQN,0.034233,0.922347,0.92098,0.001367,4,4,0
219,MAFRL-DDQN,0.04139,0.916968,0.915953,0.001014,3,2,1
220,MAFRL-DDQN,0.039061,1.06108,1.059963,0.001117,3,1,2
221,MAFRL-DDQN,0.057974,1.226911,1.224685,0.002226,1,0,1
222,MAFRL-DDQN,0.03805,0.629062,0.628045,0.001017,4,4,0
223,MAFRL-DDQN,0.025682,0.89431,0.893801,0.000509,6,6,0
224,MAFRL-DDQN,0.032778,1.051876,1.050747,0.001128,4,3,1
225,MAFRL-DDQN,0.030448,1.2855,1.284099,0.0014,4,3,1
226,MAFRL-DDQN,0.040813,0.951915,0.950021,0.001894,3,3,0
227,MAFRL-DDQN,0.025667,0.897199,0.895883,0.001316,6,4,2
228,MAFRL-DDQN,0.034915,0.865275,0.863976,0.001299,4,3,1
229,MAFRL-DDQN,0.038736,1.083001,1.081384,0.001617,3,2,1
230,MAFRL-DDQN,0.03986,1.009537,1.008662,0.000875,3,3,0
231,MAFRL-DDQN,0.028698,0.98596,0.984405,0.001555,5,3,2
232,MAFRL-DDQN,0.026815,0.730179,0.729078,0.001101,6,5,1
233,MAFRL-DDQN,0.036434,0.745595,0.744604,0.000992,4,4,0
234,MAFRL-DDQN,0.027873,0.588167,0.587663,0.000504,6,6,0
235,MAFRL-DDQN,0.032378,1.0898,1.088365,0.001435,4,4,0
236,MAFRL-DDQN,0.045238,0.712371,0.710324,0.002047,3,2,1
237,MAFRL-DDQN,0.0472,1.120318,1.118468,0.00185,2,2,0
238,MAFRL-DDQN,0.040471,0.972264,0.970724,0.00154,3,3,0
239,MAFRL-DDQN,0.031202,1.206507,1.204772,0.001735,4,2,2
240,MAFRL-DDQN,0.052047,0.922484,0.921209,0.001275,2,1,1
241,MAFRL-DDQN,0.032359,1.091548,1.090243,0.001305,4,4,0
242,MAFRL-DDQN,0.034524,0.897707,0.896415,0.001292,4,3,1
243,MAFRL-DDQN,0.039208,1.052305,1.050287,0.002018,3,1,2
244,MAFRL-DDQN,0.041487,0.911218,0.910292,0.000926,3,2,1
245,MAFRL-DDQN,0.036213,1.262659,1.26127,0.00139,3,2,1
246,MAFRL-DDQN,0.032676,1.062087,1.060111,0.001976,4,2,2
247,MAFRL-DDQN,0.041751,0.896113,0.895037,0.001077,3,2,1
248,MAFRL-DDQN,0.051139,0.956413,0.95533,0.001084,2,2,0
249,MAFRL-DDQN,0.036385,1.249437,1.248252,0.001185,3,2,1
250,MAFRL-DDQN,0.062436,1.103104,1.101478,0.001626,1,1,0
251,MAFRL-DDQN,0.044253,0.760986,0.759613,0.001373,3,3,0
252,MAFRL-DDQN,0.043018,0.825195,0.824563,0.000632,3,3,0
253,MAFRL-DDQN,0.035774,0.796362,0.795225,0.001138,4,3,1
254,MAFRL-DDQN,0.043574,0.796437,0.794754,0.001683,3,3,0
255,MAFRL-DDQN,0.027555,0.630293,0.628976,0.001317,6,6,0
256,MAFRL-DDQN,0.045309,1.20838,1.206944,0.001436,2,2,0
257,MAFRL-DDQN,0.040613,0.963399,0.962143,0.001256,3,3,0
258,MAFRL-DDQN,0.042973,0.828232,0.82692,0.001313,3,3,0
259,MAFRL-DDQN,0.061719,1.122212,1.120039,0.002173,1,1,0
260,MAFRL-DDQN,0.04849,1.063534,1.062129,0.001405,2,1,1
261,MAFRL-DDQN,0.039531,1.031747,1.029407,0.002339,3,2,1
262,MAFRL-DDQN,0.04707,1.126348,1.124294,0.002053,2,1,1
263,MAFRL-DDQN,0.041246,0.925545,0.924365,0.00118,3,3,0
264,MAFRL-DDQN,0.037249,1.185969,1.184491,0.001479,3,2,1
265,MAFRL-DDQN,0.047155,1.12207,1.120532,0.001538,2,2,0
266,MAFRL-DDQN,0.049356,1.028529,1.025827,0.002702,2,1,1
267,MAFRL-DDQN,0.040713,0.957361,0.956073,0.001287,3,2,1
268,MAFRL-DDQN,0.03297,1.035041,1.032873,0.002168,4,1,3
269,MAFRL-DDQN,0.066992,0.994077,0.992563,0.001514,1,1,0
270,MAFRL-DDQN,0.087436,1.145295,1.143511,0.001784,0,0,0
271,MAFRL-DDQN,0.039216,1.051691,1.049787,0.001904,3,1,2
272,MAFRL-DDQN,0.071166,0.906464,0.905027,0.001437,1,1,0
273,MAFRL-DDQN,0.061486,1.128199,1.126189,0.00201,1,1,0
274,MAFRL-DDQN,0.073826,1.357117,1.354241,0.002877,0,0,0
275,MAFRL-DDQN,0.027591,1.125963,1.124181,0.001782,5,2,3
276,MAFRL-DDQN,0.046034,1.173774,1.172159,0.001616,2,2,0
277,MAFRL-DDQN,0.045595,1.194965,1.19304,0.001924,2,1,1
278,MAFRL-DDQN,0.045859,1.181892,1.180478,0.001415,2,1,1
279,MAFRL-DDQN,0.062492,1.101585,1.100054,0.00153,1,1,0
280,MAFRL-DDQN,0.060811,1.145825,1.144294,0.00153,1,0,1
281,MAFRL-DDQN,0.034952,0.862037,0.860916,0.001121,4,3,1
282,MAFRL-DDQN,0.060022,1.168349,1.16579,0.002559,1,0,1
283,MAFRL-DDQN,0.063264,1.082084,1.080535,0.001549,1,1,0
284,MAFRL-DDQN,0.045041,1.221624,1.220039,0.001585,2,1,1
285,MAFRL-DDQN,0.063036,1.08789,1.086222,0.001668,1,1,0
286,MAFRL-DDQN,0.055322,1.308826,1.307466,0.00136,1,0,1
287,MAFRL-DDQN,0.061867,1.118316,1.116151,0.002165,1,1,0
288,MAFRL-DDQN,0.046655,1.144732,1.143242,0.00149,2,1,1
289,MAFRL-DDQN,0.053871,1.357865,1.356096,0.001769,1,0,1
